explicit-rules 0 0 {'n': 160, 'eligibility': 160, 'reservation': 160, 'shipment': 125, 'stock': 120, 'status': 160, 'format': 160, 'exact': 85, 'complete': 85, 'stale': 0}
explicit-rules 1 0 {'n': 160, 'eligibility': 121, 'reservation': 120, 'shipment': 89, 'stock': 130, 'status': 121, 'format': 160, 'exact': 80, 'complete': 80, 'stale': 9}
explicit-rules 2 0 {'n': 160, 'eligibility': 132, 'reservation': 123, 'shipment': 102, 'stock': 130, 'status': 110, 'format': 160, 'exact': 70, 'complete': 70, 'stale': 20}
seed311-base 0 0 {'n': 96, 'eligibility': 19, 'reservation': 11, 'shipment': 19, 'stock': 11, 'status': 8, 'format': 19, 'exact': 0, 'complete': 0, 'stale': 0}
seed311-A256 0 0 {'n': 64, 'eligibility': 64, 'reservation': 64, 'shipment': 64, 'stock': 64, 'status': 64, 'format': 64, 'exact': 64, 'complete': 64, 'stale': 0}
seed311-A256-new 0 0 {'n': 32, 'eligibility': 32, 'reservation': 32, 'shipment': 32, 'stock': 32, 'status': 32, 'format': 32, 'exact': 32, 'complete': 32, 'stale': 0}
seed311-no-update 0 0 {'n': 160, 'eligibility': 160, 'reservation': 160, 'shipment': 160, 'stock': 160, 'status': 160, 'format': 160, 'exact': 160, 'complete': 160, 'stale': 0}
seed311-no-update 0 1 {'n': 160, 'eligibility': 160, 'reservation': 160, 'shipment': 160, 'stock': 160, 'status': 160, 'format': 160, 'exact': 160, 'complete': 160, 'stale': 0}
seed311-no-update 1 0 {'n': 160, 'eligibility': 140, 'reservation': 150, 'shipment': 150, 'stock': 150, 'status': 140, 'format': 160, 'exact': 140, 'complete': 140, 'stale': 20}
seed311-no-update 1 1 {'n': 160, 'eligibility': 140, 'reservation': 150, 'shipment': 150, 'stock': 150, 'status': 140, 'format': 160, 'exact': 140, 'complete': 140, 'stale': 20}
seed311-no-update 2 0 {'n': 160, 'eligibility': 120, 'reservation': 140, 'shipment': 140, 'stock': 140, 'status': 120, 'format': 160, 'exact': 120, 'complete': 120, 'stale': 20}
seed311-no-update 2 1 {'n': 160, 'eligibility': 120, 'reservation': 140, 'shipment': 140, 'stock': 140, 'status': 120, 'format': 160, 'exact': 120, 'complete': 120, 'stale': 20}
seed311-novel-v1 1 0 {'n': 160, 'eligibility': 132, 'reservation': 148, 'shipment': 148, 'stock': 148, 'status': 132, 'format': 160, 'exact': 132, 'complete': 132, 'stale': 0}
seed311-novel-v1 1 1 {'n': 160, 'eligibility': 132, 'reservation': 148, 'shipment': 148, 'stock': 148, 'status': 132, 'format': 160, 'exact': 132, 'complete': 132, 'stale': 0}
seed311-novel-v2 2 0 {'n': 160, 'eligibility': 120, 'reservation': 140, 'shipment': 140, 'stock': 140, 'status': 120, 'format': 160, 'exact': 120, 'complete': 120, 'stale': 0}
seed311-novel-v2 2 1 {'n': 160, 'eligibility': 120, 'reservation': 140, 'shipment': 140, 'stock': 140, 'status': 120, 'format': 160, 'exact': 120, 'complete': 120, 'stale': 0}
seed311-bridged-v1 1 0 {'n': 160, 'eligibility': 140, 'reservation': 150, 'shipment': 150, 'stock': 150, 'status': 140, 'format': 160, 'exact': 140, 'complete': 140, 'stale': 0}
seed311-bridged-v1 1 1 {'n': 160, 'eligibility': 140, 'reservation': 150, 'shipment': 150, 'stock': 150, 'status': 140, 'format': 160, 'exact': 140, 'complete': 140, 'stale': 0}
seed311-bridged-v2 2 0 {'n': 160, 'eligibility': 120, 'reservation': 140, 'shipment': 140, 'stock': 140, 'status': 120, 'format': 160, 'exact': 120, 'complete': 120, 'stale': 0}
seed311-bridged-v2 2 1 {'n': 160, 'eligibility': 120, 'reservation': 140, 'shipment': 140, 'stock': 140, 'status': 120, 'format': 160, 'exact': 120, 'complete': 120, 'stale': 0}
