explicit-rules 0 0 {'n': 192, 'eligibility': 192, 'reservation': 192, 'shipment': 147, 'stock': 144, 'status': 192, 'format': 192, 'exact': 99, 'complete': 99, 'stale': 0}
explicit-rules 1 0 {'n': 192, 'eligibility': 146, 'reservation': 143, 'shipment': 106, 'stock': 156, 'status': 146, 'format': 192, 'exact': 96, 'complete': 96, 'stale': 10}
explicit-rules 2 0 {'n': 192, 'eligibility': 159, 'reservation': 146, 'shipment': 125, 'stock': 157, 'status': 129, 'format': 192, 'exact': 84, 'complete': 84, 'stale': 23}
seed401-base 0 0 {'n': 128, 'eligibility': 17, 'reservation': 10, 'shipment': 17, 'stock': 10, 'status': 7, 'format': 17, 'exact': 0, 'complete': 0, 'stale': 0}
seed401-A256 0 0 {'n': 64, 'eligibility': 64, 'reservation': 64, 'shipment': 64, 'stock': 64, 'status': 64, 'format': 64, 'exact': 64, 'complete': 64, 'stale': 0}
seed401-A256-new 0 0 {'n': 32, 'eligibility': 32, 'reservation': 32, 'shipment': 32, 'stock': 32, 'status': 32, 'format': 32, 'exact': 32, 'complete': 32, 'stale': 0}
seed401-no-update 0 0 {'n': 192, 'eligibility': 192, 'reservation': 192, 'shipment': 192, 'stock': 192, 'status': 192, 'format': 192, 'exact': 192, 'complete': 192, 'stale': 0}
seed401-no-update 0 1 {'n': 32, 'eligibility': 32, 'reservation': 32, 'shipment': 32, 'stock': 32, 'status': 32, 'format': 32, 'exact': 32, 'complete': 32, 'stale': 0}
seed401-novel-v1 1 0 {'n': 192, 'eligibility': 192, 'reservation': 192, 'shipment': 192, 'stock': 192, 'status': 192, 'format': 192, 'exact': 192, 'complete': 192, 'stale': 0}
seed401-novel-v1 1 1 {'n': 32, 'eligibility': 32, 'reservation': 32, 'shipment': 32, 'stock': 32, 'status': 32, 'format': 32, 'exact': 32, 'complete': 32, 'stale': 0}
seed401-novel-v2 2 0 {'n': 192, 'eligibility': 192, 'reservation': 192, 'shipment': 192, 'stock': 192, 'status': 192, 'format': 192, 'exact': 192, 'complete': 192, 'stale': 0}
seed401-novel-v2 2 1 {'n': 32, 'eligibility': 32, 'reservation': 32, 'shipment': 32, 'stock': 32, 'status': 32, 'format': 32, 'exact': 32, 'complete': 32, 'stale': 0}
seed401-bridged-v1 1 0 {'n': 192, 'eligibility': 192, 'reservation': 192, 'shipment': 192, 'stock': 192, 'status': 192, 'format': 192, 'exact': 192, 'complete': 192, 'stale': 0}
seed401-bridged-v1 1 1 {'n': 32, 'eligibility': 32, 'reservation': 32, 'shipment': 32, 'stock': 32, 'status': 32, 'format': 32, 'exact': 32, 'complete': 32, 'stale': 0}
seed401-bridged-v2 2 0 {'n': 192, 'eligibility': 120, 'reservation': 156, 'shipment': 156, 'stock': 156, 'status': 120, 'format': 192, 'exact': 120, 'complete': 120, 'stale': 0}
seed401-bridged-v2 2 1 {'n': 32, 'eligibility': 20, 'reservation': 26, 'shipment': 26, 'stock': 26, 'status': 20, 'format': 32, 'exact': 20, 'complete': 20, 'stale': 0}
seed402-base 0 0 {'n': 128, 'eligibility': 17, 'reservation': 10, 'shipment': 17, 'stock': 10, 'status': 7, 'format': 17, 'exact': 0, 'complete': 0, 'stale': 0}
seed402-A256 0 0 {'n': 64, 'eligibility': 57, 'reservation': 48, 'shipment': 48, 'stock': 63, 'status': 49, 'format': 64, 'exact': 41, 'complete': 41, 'stale': 0}
seed402-A256-new 0 0 {'n': 32, 'eligibility': 26, 'reservation': 24, 'shipment': 24, 'stock': 31, 'status': 22, 'format': 32, 'exact': 18, 'complete': 18, 'stale': 0}
seed402-A512 0 0 {'n': 64, 'eligibility': 64, 'reservation': 64, 'shipment': 64, 'stock': 64, 'status': 64, 'format': 64, 'exact': 64, 'complete': 64, 'stale': 0}
seed402-A512-new 0 0 {'n': 32, 'eligibility': 32, 'reservation': 32, 'shipment': 32, 'stock': 32, 'status': 32, 'format': 32, 'exact': 32, 'complete': 32, 'stale': 0}
